"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Oct 11 17:59:48 GMT 2024","Fri Oct 11 17:59:55 GMT 2024","7291","chromium","costumer_journey.spec.js","E2E tests","","","Add a product to cart",""
"passed","Fri Oct 11 18:00:05 GMT 2024","Fri Oct 11 18:00:19 GMT 2024","13796","chromium","costumer_journey.spec.js","E2E tests","","","Finish Order",""
"passed","Fri Oct 11 17:59:55 GMT 2024","Fri Oct 11 18:00:00 GMT 2024","4587","chromium","costumer_journey.spec.js","E2E tests","","","Add a product from promotion section",""
"passed","Fri Oct 11 18:00:00 GMT 2024","Fri Oct 11 18:00:05 GMT 2024","5537","chromium","costumer_journey.spec.js","E2E tests","","","Delete a product from cart",""
