"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Sep 24 18:00:43 GMT 2024","Tue Sep 24 18:01:00 GMT 2024","16699","chromium","costumer_journey.spec.js","E2E tests","","","Finish Order",""
"passed","Tue Sep 24 18:00:25 GMT 2024","Tue Sep 24 18:00:34 GMT 2024","8883","chromium","costumer_journey.spec.js","E2E tests","","","Add a product to cart",""
"passed","Tue Sep 24 18:00:34 GMT 2024","Tue Sep 24 18:00:37 GMT 2024","3270","chromium","costumer_journey.spec.js","E2E tests","","","Add a product from promotion section",""
"passed","Tue Sep 24 18:00:37 GMT 2024","Tue Sep 24 18:00:43 GMT 2024","5485","chromium","costumer_journey.spec.js","E2E tests","","","Delete a product from cart",""
