"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Nov 09 18:01:57 GMT 2024","Sat Nov 09 18:02:01 GMT 2024","4465","chromium","costumer_journey.spec.js","E2E tests","","","Delete a product from cart",""
"broken","Sat Nov 09 18:01:22 GMT 2024","Sat Nov 09 18:01:52 GMT 2024","30237","chromium","costumer_journey.spec.js","E2E tests","","","Add a product to cart",""
"passed","Sat Nov 09 18:02:01 GMT 2024","Sat Nov 09 18:02:15 GMT 2024","13169","chromium","costumer_journey.spec.js","E2E tests","","","Finish Order",""
"passed","Sat Nov 09 18:01:52 GMT 2024","Sat Nov 09 18:01:57 GMT 2024","4524","chromium","costumer_journey.spec.js","E2E tests","","","Add a product from promotion section",""
