"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Dec 02 18:01:25 GMT 2024","Mon Dec 02 18:01:30 GMT 2024","4906","chromium","costumer_journey.spec.js","E2E tests","","","Add a product from promotion section",""
"passed","Mon Dec 02 18:01:30 GMT 2024","Mon Dec 02 18:01:36 GMT 2024","5567","chromium","costumer_journey.spec.js","E2E tests","","","Delete a product from cart",""
"broken","Mon Dec 02 18:00:55 GMT 2024","Mon Dec 02 18:01:25 GMT 2024","30216","chromium","costumer_journey.spec.js","E2E tests","","","Add a product to cart",""
"passed","Mon Dec 02 18:01:36 GMT 2024","Mon Dec 02 18:01:50 GMT 2024","13885","chromium","costumer_journey.spec.js","E2E tests","","","Finish Order",""
