"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Sep 09 18:00:13 GMT 2024","Mon Sep 09 18:00:16 GMT 2024","3238","chromium","costumer_journey.spec.js","E2E tests","","","Add a product from promotion section",""
"passed","Mon Sep 09 18:00:21 GMT 2024","Mon Sep 09 18:00:33 GMT 2024","12867","chromium","costumer_journey.spec.js","E2E tests","","","Finish Order",""
"passed","Mon Sep 09 18:00:16 GMT 2024","Mon Sep 09 18:00:21 GMT 2024","4151","chromium","costumer_journey.spec.js","E2E tests","","","Delete a product from cart",""
"passed","Mon Sep 09 18:00:07 GMT 2024","Mon Sep 09 18:00:13 GMT 2024","5675","chromium","costumer_journey.spec.js","E2E tests","","","Add a product to cart",""
