"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Sun Nov 03 18:01:20 GMT 2024","Sun Nov 03 18:01:50 GMT 2024","30258","chromium","costumer_journey.spec.js","E2E tests","","","Add a product to cart",""
"passed","Sun Nov 03 18:01:56 GMT 2024","Sun Nov 03 18:02:02 GMT 2024","5316","chromium","costumer_journey.spec.js","E2E tests","","","Delete a product from cart",""
"passed","Sun Nov 03 18:01:51 GMT 2024","Sun Nov 03 18:01:56 GMT 2024","5496","chromium","costumer_journey.spec.js","E2E tests","","","Add a product from promotion section",""
"passed","Sun Nov 03 18:02:02 GMT 2024","Sun Nov 03 18:02:15 GMT 2024","13132","chromium","costumer_journey.spec.js","E2E tests","","","Finish Order",""
