"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Aug 05 18:00:31 GMT 2024","Mon Aug 05 18:00:49 GMT 2024","18884","chromium","costumer_journey.spec.js","E2E tests","","","Finish Order",""
"passed","Mon Aug 05 18:00:22 GMT 2024","Mon Aug 05 18:00:26 GMT 2024","4343","chromium","costumer_journey.spec.js","E2E tests","","","Add a product from promotion section",""
"passed","Mon Aug 05 18:00:14 GMT 2024","Mon Aug 05 18:00:22 GMT 2024","7612","chromium","costumer_journey.spec.js","E2E tests","","","Add a product to cart",""
"passed","Mon Aug 05 18:00:26 GMT 2024","Mon Aug 05 18:00:31 GMT 2024","4402","chromium","costumer_journey.spec.js","E2E tests","","","Delete a product from cart",""
