"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Nov 21 18:01:48 GMT 2024","Thu Nov 21 18:01:53 GMT 2024","5267","chromium","costumer_journey.spec.js","E2E tests","","","Delete a product from cart",""
"broken","Thu Nov 21 18:01:13 GMT 2024","Thu Nov 21 18:01:43 GMT 2024","30205","chromium","costumer_journey.spec.js","E2E tests","","","Add a product to cart",""
"passed","Thu Nov 21 18:01:43 GMT 2024","Thu Nov 21 18:01:48 GMT 2024","5064","chromium","costumer_journey.spec.js","E2E tests","","","Add a product from promotion section",""
"passed","Thu Nov 21 18:01:53 GMT 2024","Thu Nov 21 18:02:08 GMT 2024","14389","chromium","costumer_journey.spec.js","E2E tests","","","Finish Order",""
