"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Nov 29 18:01:37 GMT 2024","Fri Nov 29 18:01:51 GMT 2024","14266","chromium","costumer_journey.spec.js","E2E tests","","","Finish Order",""
"passed","Fri Nov 29 18:01:31 GMT 2024","Fri Nov 29 18:01:37 GMT 2024","5496","chromium","costumer_journey.spec.js","E2E tests","","","Delete a product from cart",""
"passed","Fri Nov 29 18:01:27 GMT 2024","Fri Nov 29 18:01:31 GMT 2024","4593","chromium","costumer_journey.spec.js","E2E tests","","","Add a product from promotion section",""
"broken","Fri Nov 29 18:00:56 GMT 2024","Fri Nov 29 18:01:26 GMT 2024","30220","chromium","costumer_journey.spec.js","E2E tests","","","Add a product to cart",""
