"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Jun 25 18:00:35 GMT 2024","Tue Jun 25 18:00:42 GMT 2024","6653","chromium","costumer_journey.spec.js","E2E tests","","","Delete a product from cart",""
"passed","Tue Jun 25 18:00:42 GMT 2024","Tue Jun 25 18:00:59 GMT 2024","17249","chromium","costumer_journey.spec.js","E2E tests","","","Finish Order",""
"passed","Tue Jun 25 18:00:21 GMT 2024","Tue Jun 25 18:00:30 GMT 2024","9408","chromium","costumer_journey.spec.js","E2E tests","","","Add a product to cart",""
"passed","Tue Jun 25 18:00:30 GMT 2024","Tue Jun 25 18:00:35 GMT 2024","5319","chromium","costumer_journey.spec.js","E2E tests","","","Add a product from promotion section",""
