"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Thu Dec 19 18:00:58 GMT 2024","Thu Dec 19 18:01:29 GMT 2024","30421","chromium","costumer_journey.spec.js","E2E tests","","","Add a product to cart",""
"passed","Thu Dec 19 18:01:39 GMT 2024","Thu Dec 19 18:01:53 GMT 2024","14337","chromium","costumer_journey.spec.js","E2E tests","","","Finish Order",""
"passed","Thu Dec 19 18:01:29 GMT 2024","Thu Dec 19 18:01:34 GMT 2024","4709","chromium","costumer_journey.spec.js","E2E tests","","","Add a product from promotion section",""
"passed","Thu Dec 19 18:01:34 GMT 2024","Thu Dec 19 18:01:39 GMT 2024","5047","chromium","costumer_journey.spec.js","E2E tests","","","Delete a product from cart",""
