"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Sep 13 18:00:01 GMT 2024","Fri Sep 13 18:00:08 GMT 2024","7049","chromium","costumer_journey.spec.js","E2E tests","","","Add a product to cart",""
"passed","Fri Sep 13 18:00:16 GMT 2024","Fri Sep 13 18:00:22 GMT 2024","5259","chromium","costumer_journey.spec.js","E2E tests","","","Delete a product from cart",""
"passed","Fri Sep 13 18:00:08 GMT 2024","Fri Sep 13 18:00:16 GMT 2024","8130","chromium","costumer_journey.spec.js","E2E tests","","","Add a product from promotion section",""
"passed","Fri Sep 13 18:00:22 GMT 2024","Fri Sep 13 18:00:36 GMT 2024","14647","chromium","costumer_journey.spec.js","E2E tests","","","Finish Order",""
