"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Aug 22 18:00:14 GMT 2024","Thu Aug 22 18:00:26 GMT 2024","11606","chromium","costumer_journey.spec.js","E2E tests","","","Add a product to cart",""
"passed","Thu Aug 22 18:00:26 GMT 2024","Thu Aug 22 18:00:32 GMT 2024","5603","chromium","costumer_journey.spec.js","E2E tests","","","Add a product from promotion section",""
"passed","Thu Aug 22 18:00:32 GMT 2024","Thu Aug 22 18:00:38 GMT 2024","6220","chromium","costumer_journey.spec.js","E2E tests","","","Delete a product from cart",""
"passed","Thu Aug 22 18:00:38 GMT 2024","Thu Aug 22 18:00:53 GMT 2024","15482","chromium","costumer_journey.spec.js","E2E tests","","","Finish Order",""
