"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Nov 02 18:00:28 GMT 2024","Sat Nov 02 18:00:35 GMT 2024","6632","chromium","costumer_journey.spec.js","E2E tests","","","Add a product to cart",""
"passed","Sat Nov 02 18:00:39 GMT 2024","Sat Nov 02 18:00:44 GMT 2024","4798","chromium","costumer_journey.spec.js","E2E tests","","","Delete a product from cart",""
"passed","Sat Nov 02 18:00:44 GMT 2024","Sat Nov 02 18:01:01 GMT 2024","16752","chromium","costumer_journey.spec.js","E2E tests","","","Finish Order",""
"passed","Sat Nov 02 18:00:35 GMT 2024","Sat Nov 02 18:00:39 GMT 2024","4155","chromium","costumer_journey.spec.js","E2E tests","","","Add a product from promotion section",""
