"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Jun 26 18:00:11 GMT 2024","Wed Jun 26 18:00:15 GMT 2024","4574","chromium","costumer_journey.spec.js","E2E tests","","","Add a product from promotion section",""
"passed","Wed Jun 26 18:00:53 GMT 2024","Wed Jun 26 18:01:09 GMT 2024","16139","chromium","costumer_journey.spec.js","E2E tests","","","Finish Order",""
"passed","Wed Jun 26 18:00:03 GMT 2024","Wed Jun 26 18:00:11 GMT 2024","7928","chromium","costumer_journey.spec.js","E2E tests","","","Add a product to cart",""
"passed","Wed Jun 26 18:00:15 GMT 2024","Wed Jun 26 18:00:22 GMT 2024","6983","chromium","costumer_journey.spec.js","E2E tests","","","Delete a product from cart",""
