"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Wed Nov 13 18:01:18 GMT 2024","Wed Nov 13 18:01:48 GMT 2024","30262","chromium","costumer_journey.spec.js","E2E tests","","","Add a product to cart",""
"passed","Wed Nov 13 18:01:54 GMT 2024","Wed Nov 13 18:02:00 GMT 2024","6017","chromium","costumer_journey.spec.js","E2E tests","","","Delete a product from cart",""
"passed","Wed Nov 13 18:02:00 GMT 2024","Wed Nov 13 18:02:15 GMT 2024","14763","chromium","costumer_journey.spec.js","E2E tests","","","Finish Order",""
"passed","Wed Nov 13 18:01:48 GMT 2024","Wed Nov 13 18:01:54 GMT 2024","5719","chromium","costumer_journey.spec.js","E2E tests","","","Add a product from promotion section",""
