"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Dec 15 18:01:47 GMT 2024","Sun Dec 15 18:01:52 GMT 2024","4934","chromium","costumer_journey.spec.js","E2E tests","","","Add a product from promotion section",""
"passed","Sun Dec 15 18:01:57 GMT 2024","Sun Dec 15 18:02:10 GMT 2024","13486","chromium","costumer_journey.spec.js","E2E tests","","","Finish Order",""
"broken","Sun Dec 15 18:01:11 GMT 2024","Sun Dec 15 18:01:46 GMT 2024","35210","chromium","costumer_journey.spec.js","E2E tests","","","Add a product to cart",""
"passed","Sun Dec 15 18:01:52 GMT 2024","Sun Dec 15 18:01:57 GMT 2024","4930","chromium","costumer_journey.spec.js","E2E tests","","","Delete a product from cart",""
