"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Oct 29 18:01:59 GMT 2024","Tue Oct 29 18:02:08 GMT 2024","9331","chromium","costumer_journey.spec.js","E2E tests","","","Delete a product from cart",""
"passed","Tue Oct 29 18:01:16 GMT 2024","Tue Oct 29 18:01:23 GMT 2024","6351","chromium","costumer_journey.spec.js","E2E tests","","","Add a product to cart",""
"passed","Tue Oct 29 18:01:53 GMT 2024","Tue Oct 29 18:01:59 GMT 2024","5425","chromium","costumer_journey.spec.js","E2E tests","","","Add a product from promotion section",""
"passed","Tue Oct 29 18:02:08 GMT 2024","Tue Oct 29 18:02:21 GMT 2024","12899","chromium","costumer_journey.spec.js","E2E tests","","","Finish Order",""
