"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Fri Nov 01 18:01:14 GMT 2024","Fri Nov 01 18:01:44 GMT 2024","30241","chromium","costumer_journey.spec.js","E2E tests","","","Add a product to cart",""
"passed","Fri Nov 01 18:01:50 GMT 2024","Fri Nov 01 18:01:55 GMT 2024","5207","chromium","costumer_journey.spec.js","E2E tests","","","Delete a product from cart",""
"passed","Fri Nov 01 18:01:55 GMT 2024","Fri Nov 01 18:02:11 GMT 2024","15769","chromium","costumer_journey.spec.js","E2E tests","","","Finish Order",""
"passed","Fri Nov 01 18:01:45 GMT 2024","Fri Nov 01 18:01:50 GMT 2024","4990","chromium","costumer_journey.spec.js","E2E tests","","","Add a product from promotion section",""
