"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Oct 01 18:00:30 GMT 2024","Tue Oct 01 18:00:44 GMT 2024","14415","chromium","costumer_journey.spec.js","E2E tests","","","Finish Order",""
"passed","Tue Oct 01 18:00:18 GMT 2024","Tue Oct 01 18:00:24 GMT 2024","6289","chromium","costumer_journey.spec.js","E2E tests","","","Add a product from promotion section",""
"passed","Tue Oct 01 18:00:24 GMT 2024","Tue Oct 01 18:00:30 GMT 2024","5781","chromium","costumer_journey.spec.js","E2E tests","","","Delete a product from cart",""
"passed","Tue Oct 01 18:00:11 GMT 2024","Tue Oct 01 18:00:18 GMT 2024","7067","chromium","costumer_journey.spec.js","E2E tests","","","Add a product to cart",""
