"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Aug 17 18:00:02 GMT 2024","Sat Aug 17 18:00:12 GMT 2024","9966","chromium","costumer_journey.spec.js","E2E tests","","","Add a product to cart",""
"passed","Sat Aug 17 18:00:16 GMT 2024","Sat Aug 17 18:00:23 GMT 2024","6433","chromium","costumer_journey.spec.js","E2E tests","","","Delete a product from cart",""
"passed","Sat Aug 17 18:00:23 GMT 2024","Sat Aug 17 18:00:40 GMT 2024","16918","chromium","costumer_journey.spec.js","E2E tests","","","Finish Order",""
"passed","Sat Aug 17 18:00:12 GMT 2024","Sat Aug 17 18:00:16 GMT 2024","4323","chromium","costumer_journey.spec.js","E2E tests","","","Add a product from promotion section",""
