"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Oct 25 18:00:13 GMT 2024","Fri Oct 25 18:00:18 GMT 2024","5250","chromium","costumer_journey.spec.js","E2E tests","","","Add a product from promotion section",""
"passed","Fri Oct 25 18:00:05 GMT 2024","Fri Oct 25 18:00:13 GMT 2024","8216","chromium","costumer_journey.spec.js","E2E tests","","","Add a product to cart",""
"passed","Fri Oct 25 18:00:18 GMT 2024","Fri Oct 25 18:00:23 GMT 2024","5266","chromium","costumer_journey.spec.js","E2E tests","","","Delete a product from cart",""
"passed","Fri Oct 25 18:00:23 GMT 2024","Fri Oct 25 18:00:37 GMT 2024","13235","chromium","costumer_journey.spec.js","E2E tests","","","Finish Order",""
