"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Aug 06 18:00:22 GMT 2024","Tue Aug 06 18:00:26 GMT 2024","3874","chromium","costumer_journey.spec.js","E2E tests","","","Add a product from promotion section",""
"passed","Tue Aug 06 18:01:01 GMT 2024","Tue Aug 06 18:01:17 GMT 2024","16328","chromium","costumer_journey.spec.js","E2E tests","","","Finish Order",""
"passed","Tue Aug 06 18:00:14 GMT 2024","Tue Aug 06 18:00:22 GMT 2024","7536","chromium","costumer_journey.spec.js","E2E tests","","","Add a product to cart",""
"passed","Tue Aug 06 18:00:26 GMT 2024","Tue Aug 06 18:00:30 GMT 2024","4815","chromium","costumer_journey.spec.js","E2E tests","","","Delete a product from cart",""
