"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Nov 07 18:00:51 GMT 2024","Thu Nov 07 18:01:04 GMT 2024","13393","chromium","costumer_journey.spec.js","E2E tests","","","Finish Order",""
"passed","Thu Nov 07 18:00:32 GMT 2024","Thu Nov 07 18:00:40 GMT 2024","8733","chromium","costumer_journey.spec.js","E2E tests","","","Add a product to cart",""
"passed","Thu Nov 07 18:00:40 GMT 2024","Thu Nov 07 18:00:45 GMT 2024","4824","chromium","costumer_journey.spec.js","E2E tests","","","Add a product from promotion section",""
"passed","Thu Nov 07 18:00:45 GMT 2024","Thu Nov 07 18:00:51 GMT 2024","5870","chromium","costumer_journey.spec.js","E2E tests","","","Delete a product from cart",""
