"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Dec 25 18:02:15 GMT 2024","Wed Dec 25 18:02:19 GMT 2024","4349","chromium","costumer_journey.spec.js","E2E tests","","","Delete a product from cart",""
"broken","Wed Dec 25 18:01:34 GMT 2024","Wed Dec 25 18:02:10 GMT 2024","35220","chromium","costumer_journey.spec.js","E2E tests","","","Add a product to cart",""
"passed","Wed Dec 25 18:02:10 GMT 2024","Wed Dec 25 18:02:15 GMT 2024","4700","chromium","costumer_journey.spec.js","E2E tests","","","Add a product from promotion section",""
"passed","Wed Dec 25 18:02:19 GMT 2024","Wed Dec 25 18:02:33 GMT 2024","13949","chromium","costumer_journey.spec.js","E2E tests","","","Finish Order",""
