"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Jul 15 18:00:31 GMT 2024","Mon Jul 15 18:00:35 GMT 2024","4138","chromium","costumer_journey.spec.js","E2E tests","","","Add a product from promotion section",""
"passed","Mon Jul 15 18:00:40 GMT 2024","Mon Jul 15 18:00:53 GMT 2024","12799","chromium","costumer_journey.spec.js","E2E tests","","","Finish Order",""
"passed","Mon Jul 15 18:00:26 GMT 2024","Mon Jul 15 18:00:31 GMT 2024","5537","chromium","costumer_journey.spec.js","E2E tests","","","Add a product to cart",""
"passed","Mon Jul 15 18:00:35 GMT 2024","Mon Jul 15 18:00:40 GMT 2024","4452","chromium","costumer_journey.spec.js","E2E tests","","","Delete a product from cart",""
